지역코드,시군구,법정동,지번,단지,건축년도,층,전용면적,년,월,일,보증금,월세,좌표
11500,강서구,방화동,849,벽산에어트리움,2003,9,28.03,2022,6,29,9800,0,126.806969182308@37.5724150888211
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,5,25.17,2022,7,10,3000,40,126.863420741762@37.5520638033894
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,13,25.17,2022,7,11,14000,0,126.863420741762@37.5520638033894
11500,강서구,등촌동,78-7,길훈엔트런스빌,2004,8,27.29,2022,7,11,5990,39,126.854576538264@37.5608895609988
11500,강서구,등촌동,628-13,현대프린스텔,1999,10,23.63,2022,7,12,9100,0,126.856360978857@37.5600880436922
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,3,27.36,2022,7,21,13000,15,126.863420741762@37.5520638033894
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,9,27.36,2022,7,28,5000,40,126.863420741762@37.5520638033894
11500,강서구,화곡동,1065-6,강서포스텔,1998,8,33.0,2022,7,5,10000,0,126.838825599291@37.5417221165799
11500,강서구,화곡동,24-138,토석아네스,2012,3,43.84,2022,7,9,14000,0,126.846292158791@37.5455331163283
11500,강서구,화곡동,24-122,송원오피스텔(24-122),1995,3,34.83,2022,7,12,8600,0,126.846107371066@37.5460348338266
11500,강서구,화곡동,925-11,세교예지안2차,2013,4,27.58,2022,7,16,12000,0,126.842576281703@37.5295406393237
11500,강서구,화곡동,935-15,골든라인씨티,2019,15,29.92,2022,7,18,11000,31,126.839384844048@37.5285358725085
11500,강서구,화곡동,918-25,(918-25),2013,4,26.48,2022,7,18,12600,0,126.845166164749@37.5303316508342
11500,강서구,화곡동,935-15,골든라인씨티,2019,11,29.9,2022,7,19,11000,31,126.839384844048@37.5285358725085
11500,강서구,화곡동,935-15,골든라인씨티,2019,3,29.9,2022,7,21,11000,21,126.839384844048@37.5285358725085
11500,강서구,화곡동,24-104,(24-104),2002,4,24.95,2022,7,27,9000,0,126.846491486889@37.5460576710022
11500,강서구,화곡동,982-17,크라운뷰,2009,7,51.14,2022,7,27,14000,13,126.84752158657@37.5489680502275
11500,강서구,화곡동,935-15,골든라인씨티,2019,9,29.9,2022,7,27,11000,29,126.839384844048@37.5285358725085
11500,강서구,화곡동,935-15,골든라인씨티,2019,7,29.99,2022,7,28,11000,26,126.839384844048@37.5285358725085
11500,강서구,화곡동,29-62,화성오피스텔(29-62),2004,3,25.5,2022,7,29,5000,0,126.84811427588@37.546003689141
11500,강서구,가양동,257-1,마곡보타닉투웨니퍼스트,2020,4,28.33,2022,7,5,11900,35,126.838333717004@37.5710209737931
11500,강서구,가양동,1480-5,이스타빌1차,2002,7,25.84,2022,7,11,11000,10,126.853003378704@37.562604799047
11500,강서구,가양동,1480-1,이스타빌2차,2003,4,30.6,2022,7,11,14000,0,126.852691762429@37.5632568106804
11500,강서구,가양동,1479-9,휴먼빌,2004,13,30.8,2022,7,18,12000,0,126.851199212265@37.563582789378
11500,강서구,가양동,1479-8,동양 트레벨 스카이 오피스텔,2003,15,26.96,2022,7,18,12500,0,126.850919487753@37.5637379776777
11500,강서구,가양동,1479-9,휴먼빌,2004,14,25.64,2022,7,19,2000,40,126.851199212265@37.563582789378
11500,강서구,가양동,1480-5,이스타빌1차,2002,11,27.0,2022,7,25,2000,40,126.853003378704@37.562604799047
11500,강서구,가양동,448-11,가양글로벌퍼스트,2018,4,28.12,2022,7,26,5000,0,126.858790736403@37.5604134344453
11500,강서구,마곡동,776-2,마곡센트럴대방디엠시티오피스텔,2017,4,29.48,2022,7,4,10000,31,126.840297793311@37.5683002897358
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,14,24.57,2022,7,11,5000,34,126.829003171406@37.5598870117656
11500,강서구,마곡동,739-4,마곡 헤리움1차,2015,8,29.14,2022,7,18,10000,40,126.818569096967@37.5666871272345
11500,강서구,마곡동,739-4,마곡 헤리움1차,2015,9,29.14,2022,7,21,10000,37,126.818569096967@37.5666871272345
11500,강서구,마곡동,795-2,마곡아이파크,2016,7,24.22,2022,7,22,10000,13,126.837589735162@37.5605543109152
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,5,24.57,2022,7,27,13000,35,126.829003171406@37.5598870117656
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,5,27.34,2022,7,6,1000,40,126.808907666244@37.5618434902662
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,10,24.99,2022,7,6,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,620-52,벤처오피스텔(620-52),2002,6,24.96,2022,7,6,2000,40,126.808135392642@37.5625097278816
11500,강서구,방화동,620-175,공항오피스텔,2001,6,26.42,2022,7,7,3000,38,126.807955464235@37.5623428995396
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,7,26.86,2022,7,11,1000,35,126.81282165913@37.5783740078327
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,12,26.22,2022,7,12,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,3,26.22,2022,7,13,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,10,26.86,2022,7,14,500,40,126.81282165913@37.5783740078327
11500,강서구,방화동,620-209,더스카이2,2016,6,27.37,2022,7,19,13000,0,126.806743439412@37.5639975112958
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,7,24.9,2022,7,21,1000,40,126.813025742326@37.5764733766294
11500,강서구,방화동,849,벽산에어트리움,2003,5,28.03,2022,7,23,8000,10,126.806969182308@37.5724150888211
11500,강서구,방화동,620-209,더스카이2,2016,2,27.37,2022,7,23,13500,0,126.806743439412@37.5639975112958
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,6,24.9,2022,7,26,1000,23,126.813025742326@37.5764733766294
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,3,26.91,2022,7,27,500,40,126.81282165913@37.5783740078327
11500,강서구,염창동,266-12,한빛어반뉴스토리,2018,5,28.69,2022,8,8,10000,40,126.870156780919@37.5507128444924
11500,강서구,등촌동,684-3,대룡드림타워-1,2004,7,30.32,2022,8,9,13500,0,126.841431866803@37.5666022887842
11500,강서구,등촌동,635-5,대외그랜드오피스텔,2003,8,32.64,2022,8,31,10560,30,126.862102620418@37.5545783083403
11500,강서구,화곡동,920-17,청담라인씨티,2018,2,29.8,2022,8,1,11000,25,126.84203542607@37.5300857570644
11500,강서구,화곡동,935-15,골든라인씨티,2019,6,29.9,2022,8,2,11000,26,126.839384844048@37.5285358725085
11500,강서구,화곡동,982-17,크라운뷰,2009,4,49.22,2022,8,10,12740,10,126.84752158657@37.5489680502275
11500,강서구,화곡동,935-15,골든라인씨티,2019,2,29.92,2022,8,11,11000,30,126.839384844048@37.5285358725085
11500,강서구,화곡동,1073-9,거영오피스텔,2007,8,49.66,2022,8,18,3000,40,126.837244287432@37.5405003735411
11500,강서구,화곡동,105-498,우성오피스텔,2004,3,41.51,2022,8,18,11000,30,126.842680054136@37.5387527688586
11500,강서구,화곡동,1063-8,서안EZtel,2001,6,32.81,2022,8,19,9450,0,126.841724514175@37.5425349896748
11500,강서구,화곡동,982-17,크라운뷰,2009,7,49.22,2022,8,23,10900,30,126.84752158657@37.5489680502275
11500,강서구,화곡동,1111-3,경동엠파이어스테이트,2012,14,24.61,2022,8,25,14000,0,126.85186243129@37.5542990546939
11500,강서구,가양동,1479-9,휴먼빌,2004,13,25.64,2022,8,13,2000,40,126.851199212265@37.563582789378
11500,강서구,가양동,1480-5,이스타빌1차,2002,4,25.84,2022,8,16,7500,30,126.853003378704@37.562604799047
11500,강서구,가양동,1480-5,이스타빌1차,2002,6,30.24,2022,8,26,10000,20,126.853003378704@37.562604799047
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,9,25.26,2022,8,8,13000,35,126.829003171406@37.5598870117656
11500,강서구,마곡동,776-2,마곡센트럴대방디엠시티오피스텔,2017,13,24.02,2022,8,10,8880,30,126.840297793311@37.5683002897358
11500,강서구,마곡동,776-4,엠코지니어스타,2015,10,26.28,2022,8,24,10000,40,126.840582292868@37.567432636651
11500,강서구,마곡동,773-3,힐스테이트에코동익,2017,5,24.57,2022,8,24,13000,35,126.829003171406@37.5598870117656
11500,강서구,공항동,49-1,이스카이오피스텔,2011,4,27.98,2022,8,5,11800,0,126.809245210978@37.5612154306854
11500,강서구,공항동,45-19,대룡드림타워-Ⅱ,2005,3,25.83,2022,8,20,3000,30,126.808907666244@37.5618434902662
11500,강서구,방화동,620-52,벤처오피스텔(620-52),2002,3,26.0,2022,8,2,11000,0,126.808135392642@37.5625097278816
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,5,24.9,2022,8,6,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,6,26.22,2022,8,8,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,620-214,(620-214),2011,12,27.37,2022,8,13,11500,0,126.807147244916@37.5628357689758
11500,강서구,방화동,830-1,에어뷰21-2오피스텔,1999,3,26.91,2022,8,15,500,40,126.81295147539@37.5772813416219
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,3,24.9,2022,8,16,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,620-214,(620-214),2011,13,27.37,2022,8,18,3000,40,126.807147244916@37.5628357689758
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,4,24.9,2022,8,23,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,9,26.86,2022,8,30,5500,0,126.81282165913@37.5783740078327
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,9,26.86,2022,8,30,13500,0,126.81282165913@37.5783740078327
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,3,24.9,2022,8,30,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,830-3,방화샤르망1오피스텔,2003,6,24.9,2022,8,31,500,40,126.813025742326@37.5764733766294
11500,강서구,방화동,829-5,에어뷰21-1오피스텔,1999,10,24.99,2022,8,31,500,40,126.81282165913@37.5783740078327
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,9,25.17,2022,9,2,13750,0,126.863420741762@37.5520638033894
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,9,25.17,2022,9,2,14000,0,126.863420741762@37.5520638033894
11500,강서구,등촌동,633-24,등촌동 Y HAUS 오피스텔,2020,3,28.3,2022,9,3,10000,35,126.865876820025@37.553373829121
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,6,25.17,2022,9,3,13500,0,126.863420741762@37.5520638033894
11500,강서구,등촌동,631,등촌동두산위브센티움,2004,12,28.45,2022,9,14,10000,30,126.861386664814@37.5574005006316
11500,강서구,등촌동,631,등촌동두산위브센티움,2004,3,43.11,2022,9,20,10000,40,126.861386664814@37.5574005006316
11500,강서구,등촌동,631,등촌동두산위브센티움,2004,12,28.45,2022,9,28,10000,30,126.861386664814@37.5574005006316
11500,강서구,등촌동,649-14,우림보보카운티뷰,2004,10,25.17,2022,9,30,5000,30,126.863420741762@37.5520638033894
11500,강서구,화곡동,920-5,(920-5),2014,3,29.71,2022,9,5,12500,0,126.84242656667@37.5301798860847
11500,강서구,화곡동,982-17,크라운뷰,2009,6,35.54,2022,9,6,12000,30,126.84752158657@37.5489680502275
11500,강서구,화곡동,935-15,골든라인씨티,2019,4,29.92,2022,9,15,12000,29,126.839384844048@37.5285358725085
11500,강서구,화곡동,24-79,줄리엣오피스텔,1999,3,33.44,2022,9,15,8200,0,126.846579522956@37.5466340939648
11500,강서구,화곡동,918-25,(918-25),2013,3,26.48,2022,9,22,12600,0,126.845166164749@37.5303316508342
11500,강서구,화곡동,343-66,(343-66),2004,2,27.31,2022,9,24,13000,10,126.846572112397@37.5307162743393
